,source,target
0,France,Russia
1,France,Russia
2,Germany,Russia
3,Germany,Russia
4,France,Russia
5,Germany,Russia
6,Germany,Russia
7,Germany,Russia
8,France,Russia
9,Germany,Russia
10,Germany,Russia
11,Germany,Russia
12,France,Russia
13,Germany,Russia
14,Germany,Russia
15,Germany,Russia
16,France,Russia
17,Germany,Russia
18,Germany,Russia
19,Germany,Russia
20,Germany,Russia
21,Germany,Russia
22,Germany,Italy
23,Germany,Italy
24,Germany,Italy
25,Germany,Italy
26,Germany,Italy
27,Germany,Italy
28,Germany,Italy
29,Austria,Germany
30,Austria,Germany
31,Germany,Italy
32,Germany,Italy
33,Austria,Germany
34,Austria,Germany
35,Germany,Italy
36,Germany,Italy
37,Austria,Germany
38,Austria,Germany
39,Austria,Germany
40,Austria,Germany
41,Austria,Germany
42,Austria,Germany
43,Austria,Germany
44,France,Poland
45,France,Poland
46,France,Poland
47,France,Poland
48,France,Germany
49,Germany,Poland
50,France,Poland
51,France,Poland
52,France,Germany
53,Germany,Poland
54,France,Poland
55,France,Poland
56,France,Germany
57,Germany,Poland
58,France,Poland
59,France,Poland
60,France,Germany
61,Germany,Poland
62,France,Poland
63,France,Germany
64,Germany,Poland
65,France,Germany
66,Germany,Poland
67,Germany,Poland
68,Germany,Poland
69,Germany,Poland
70,Germany,Poland
71,Germany,Poland
72,Germany,Poland
73,Germany,Poland
74,Germany,Poland
75,Germany,Poland
76,Germany,Poland
77,Norway,Poland
78,Germany,Poland
79,Norway,Poland
80,Germany,Poland
81,Norway,Poland
82,Germany,Norway
83,France,Germany
84,Germany,Norway
85,France,Germany
86,Germany,Norway
87,France,Germany
88,Germany,Norway
89,France,Germany
90,Germany,Norway
91,France,Germany
92,Germany,Norway
93,France,Germany
94,France,Italy
95,France,Italy
96,France,Italy
97,Germany,Italy
98,France,Italy
99,Germany,Italy
100,France,Italy
101,Germany,Italy
102,Germany,Italy
103,Germany,Japan
104,Germany,Japan
105,Germany,Japan
106,Japan,Russia
107,Germany,Japan
108,Germany,Japan
109,Japan,Russia
110,Germany,Russia
111,Germany,Italy
112,Germany,Japan
113,Germany,Japan
114,Japan,Russia
115,Germany,Russia
116,Germany,Italy
117,Germany,Italy
118,Germany,Japan
119,Germany,Japan
120,Japan,Russia
121,Germany,Russia
122,Germany,Italy
123,Germany,Italy
124,Germany,Japan
125,Germany,Japan
126,Japan,Russia
127,Germany,Russia
128,Germany,Italy
129,Germany,Italy
130,Japan,Russia
131,Germany,Russia
132,Germany,Italy
133,Germany,Italy
134,Germany,Italy
135,Germany,Italy
136,Germany,Italy
137,France,Germany
138,France,Germany
139,France,Germany
140,France,Germany
141,France,Germany
142,France,Germany
143,France,Germany
144,France,Poland
145,Germany,Poland
146,France,Poland
147,Germany,Poland
148,France,Poland
149,Germany,Poland
150,France,Poland
151,Germany,Poland
152,Germany,Poland
153,Germany,Poland
154,Germany,Japan
155,China,Japan
156,China,Japan
157,China,Japan
158,China,Japan
159,China,Japan
160,China,Japan
161,China,Japan
162,China,Japan
163,China,Japan
164,China,Japan
165,China,Japan
166,China,Japan
167,China,Japan
168,China,Japan
169,China,Japan
170,China,Japan
171,China,Japan
172,China,Japan
173,Germany,Japan
174,Germany,Japan
175,China,Japan
176,China,Japan
177,Germany,Japan
178,Germany,Japan
179,China,Japan
180,China,Japan
181,Germany,Japan
182,Germany,Japan
183,Germany,Japan
184,Germany,Japan
185,Germany,Japan
186,Germany,Japan
187,Germany,Japan
188,Germany,Japan
189,India,Japan
190,India,Japan
191,India,Japan
192,India,Japan
193,India,Japan
194,India,Japan
195,India,Japan
196,India,Japan
197,India,Japan
198,India,Japan
199,China,Japan
200,India,Japan
201,India,Japan
202,China,Japan
203,China,Japan
204,China,Japan
205,China,Japan
206,China,Japan
207,China,Japan
208,China,Japan
209,Japan,Russia
210,France,Russia
211,China,France
212,China,India
213,Japan,Russia
214,France,Russia
215,China,France
216,China,India
217,France,Russia
218,China,France
219,China,India
220,Germany,India
221,France,Germany
222,France,Russia
223,China,France
224,China,India
225,Germany,India
226,France,Germany
227,France,Russia
228,China,France
229,China,India
230,Germany,India
231,France,Germany
232,France,Japan
233,France,Russia
234,China,France
235,China,India
236,Germany,India
237,France,Germany
238,France,Japan
239,France,Germany
240,France,Japan
241,France,Germany
242,France,Japan
243,China,Poland
244,China,Poland
245,China,Poland
246,China,Poland
247,China,Poland
248,Japan,Russia
249,Japan,Russia
250,Japan,Russia
251,Japan,Russia
252,Japan,Russia
253,Japan,Russia
254,Japan,Russia
255,Japan,Russia
256,China,India
257,China,India
258,China,India
259,China,India
260,China,India
261,China,India
262,Germany,Norway
263,Germany,Norway
264,Germany,Norway
265,Germany,Norway
266,Germany,Norway
267,Germany,Norway
268,Italy,Japan
269,Italy,Japan
270,Italy,Japan
271,Italy,Japan
272,Italy,Japan
273,Italy,Japan
